Value,Suit,Category,Color,Name,Full Name,Image,Description,Long Description,Similar To,
A,spades,Compute,f58536,EC2,Elastic Compute Cloud,Compute_AmazonEC2.eps,Virtual Servers in the Cloud,Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides resizable compute capacity in the cloud. It is designed to make web-scale cloud computing easier for developers.,"Linode, DigitalOcean, Rackspace",
2,spades,Compute,f58536,EC2 Container Service,,Compute_AmazonECS.eps,Run and Manage Docker Containers,"Amazon EC2 Container Service (ECS) is a highly scalable, high performance container management service that supports Docker containers and allows you to easily run applications on a managed cluster of Amazon EC2 instances.",,
3,spades,Compute,f58536,Elastic Beanstalk,,Compute_AWSElasticBeanstalk.eps,Run and Manage Web Apps,"AWS Elastic Beanstalk is an easy-to-use service for deploying and scaling web applications and services developed with Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker on familiar servers such as Apache, Nginx, Passenger, and IIS.","Heroku, BlueMix, Modulus",
4,spades,Compute,f58536,Lambda,,Compute_AWSLambda.eps,Run Code in Response to Events,"AWS Lambda lets you run code without provisioning or managing servers. You pay only for the compute time you consume - there is no charge when your code is not running. With Lambda, you can run code for virtually any type of application or backend service - all with zero administration. ",,
5,spades,Storage & Content Delivery,de5243,S3,Simple Storage Service,Storage-Content-Delivery_AmazonS3.eps,Scalable Storage in the Cloud,"Amazon S3 is easy to use object storage, with a simple web service interface to store and retrieve any amount of data from anywhere on the web.",,
6,spades,Storage & Content Delivery,de5243,CloudFront,,Storage-Content-Delivery_AmazonCloudFront.eps,Global Content Delivery Network,"Amazon CloudFront is a global content delivery network (CDN) service that accelerates delivery of your websites, APIs, video content or other web assets.",Akamai,
7,spades,Storage & Content Delivery,de5243,Elastic File System,,Storage-Content-Delivery_AmazonEFS.eps,Fully Managed File System for EC2,Amazon Elastic File System (Amazon EFS) is a file storage service for Amazon Elastic Compute Cloud (Amazon EC2) instances.,,
8,spades,Storage & Content Delivery,de5243,Glacier,,Storage-Content-Delivery_AmazonGlacier.eps,Archive Storage in the Cloud,"Amazon Glacier is a secure, durable, and extremely low-cost cloud storage service for data archiving and long-term backup.",tape storage,
9,spades,Storage & Content Delivery,de5243,Snowball,,Storage-Content-Delivery_AWSImportExportSnowball.eps,Large Scale Data Transport,Snowball is a petabyte-scale data transport solution that uses secure appliances to transfer large amounts of data into and out of the AWS cloud.,sneakernet,
10,spades,Storage & Content Delivery,de5243,Storage Gateway,,Storage-Content-Delivery_AWSStorageGateway.eps,Hybrid Storage Integration,The AWS Storage Gateway is a service connecting an on-premises software appliance with cloud-based storage to provide seamless and secure integration between an organization’s on-premises IT environment and AWS’s storage infrastructure.,,
J,spades,Networking,f58536,VPC,Virtual Private Cloud,Networking_AmazonVPC.eps,Isolated Cloud Resources,Amazon Virtual Private Cloud (Amazon VPC) lets you provision a logically isolated section of the Amazon Web Services (AWS) cloud where you can launch AWS resources in a virtual network that you define.,VLANs,
Q,spades,Networking,f58536,Direct Connect,,Networking_AWSDirectConnect.eps,Dedicated Network Connection to AWS,AWS Direct Connect makes it easy to establish a dedicated network connection from your premises to AWS.,,
K,spades,Networking,f58536,Route 53,,Networking_AmazonRoute53.eps,Scalable DNS and Domain Name REgistration,Amazon Route 53 is a highly available and scalable cloud Domain Name System (DNS) web service.,"DNSimple, GoDaddy, Gandi",
A,hearts,Database,2c71b8,RDS,Relational DB Service,Database_AmazonRDS.eps,Managed Relational Database Service,"Amazon Relational Database Service (Amazon RDS) makes it easy to set up, operate, and scale a relational database in the cloud.",Heroku Postgres,
2,hearts,Database,2c71b8,DynamoDB,,Database_AmazonDynamoDB.eps,Managed NoSQL Database,"Amazon DynamoDB is a fast and flexible NoSQL database service for all applications that need consistent, single-digit millisecond latency at any scale.",MongoLab,
3,hearts,Database,2c71b8,ElastiCache,,Database_AmazonElasticCache.eps,In-Memory Cache,"ElastiCache is a web service that makes it easy to deploy, operate, and scale an in-memory cache in the cloud.","Redis to Go, Memcachier",
4,hearts,Database,2c71b8,Redshift,,Database_AmazonRedshift.eps,"Fast, Simple, Cost-Effective Data Warehousing","Amazon Redshift is a fast, fully managed, petabyte-scale data warehouse that makes it simple and cost-effective to analyze all your data using your existing business intelligence tools.",,
5,hearts,Database,2c71b8,DMS,DB Migration Service,Database_AWSDatabaseMigrationService.eps,Managed Database Migration Service,AWS Database Migration Service helps you migrate databases to AWS easily and securely.,,
6,hearts,Developer Tools,749c3d,CodeCommit,,Developer-Tools_AWSCodeCommit.eps,Store code in Private Git Repositories,AWS CodeCommit is a fully-managed source control service that makes it easy for companies to host secure and highly scalable private Git repositories.,"Github, BitBucket",
7,hearts,Developer Tools,749c3d,CodeDeploy,,Developer-Tools_AWSCodeDeploy.eps,Automate Code Deployments,"AWS CodeDeploy is a service that automates code deployments to any instance, including Amazon EC2 instances and instances running on-premises.","Heroku, Capistrano",
8,hearts,Developer Tools,749c3d,CodePipeline,,Developer-Tools_AWSCodePipeline.eps,Release Software using Continuous Delivery,"AWS CodePipeline is a continuous delivery service for fast and reliable application updates. CodePipeline builds, tests, and deploys your code every time there is a code change, based on the release process models you define.","CircleCI, Travis",
9,hearts,Security & Identity,759c3d,Identity & Access Mgmt.,,Security-Identity_AWSIAM.eps,Manage User Access and Encryption Keys,AWS Identity and Access Management (IAM) enables you to securely control access to AWS services and resources for your users.,,
10,hearts,Security & Identity,759c3d,Directory Service,,Security-Identity_AWSDirectoryService.eps,Host and Manage Active Directory,"AWS Directory Service makes it easy to setup and run Microsoft Active Directory (AD) in the AWS cloud, or connect your AWS resources with an existing on-premises Microsoft Active Directory.",,
J,hearts,Security & Identity,759c3d,Inspector,,Security-Identity_AmazonInspector.eps,Analyze Application Security,Amazon Inspector is an automated security assessment service that helps improve the security and compliance of applications deployed on AWS.,Alert Logic,
Q,hearts,Security & Identity,759c3d,WAF,Web Application Firewall,Security-Identity_AWSWAF.eps,Filter Malicious Web Traffic,"AWS WAF is a web application firewall that helps protect your web applications from common web exploits that could affect application availability, compromise security, or consume excessive resources.","Sophos, Kapersky",
K,hearts,Security & Identity,759c3d,Certificate Manager,,Security-Identity_ACM.eps,"Provision, Manage, and Deploy SSL/TLS Certificates","AWS Certificate Manager is a service that lets you easily provision, manage, and deploy Secure Sockets Layer/Transport Layer Security (SSL/TLS) certificates for use with AWS services.",,
A,clubs,Analytics,f58435,EMR,Elastic MapReduce,Analytics_AmazonEMR.eps,Managed Hadoop Framework,Amazon Elastic MapReduce (Amazon EMR) is a web service that makes it easy to quickly and cost-effectively process vast amounts of data.,,
2,clubs,Analytics,f58435,Data Pipeline,,Analytics_AWSDataPipeline.eps,Orchestration for Data-Driven Workflows,"AWS Data Pipeline is a web service that helps you reliably process and move data between different AWS compute and storage services, as well as on-premise data sources, at specified intervals.",,
3,clubs,Analytics,f58435,Elasticsearch Service,,Analytics_AmazonElasticsearchService.eps,Run and Scale Elastisearch Clusters,"Elasticsearch is a popular open-source search and analytics engine for use cases such as log analytics, real-time application monitoring, and click stream analytics.",,
4,clubs,Analytics,f58435,Kinesis,,Analytics_AmazonKinesis.eps,Work with Real-Time Streaming Data,"Amazon Kinesis is a platform for streaming data on AWS, offering powerful services to make it easy to load and analyze streaming data, and also providing the ability for you to build custom streaming data applications for specialized needs.",Kafka,
5,clubs,Analytics,f58435,Machine Learning,,Analytics_AmazonMachineLearning.eps,Build Smart Applications Quickly and Easily,Amazon Machine Learning is a service that makes it easy for developers of all skill levels to use machine learning technology.,,
6,clubs,Management Tools,759c3d,CloudWatch,,Management-Tools_AmazonCloudWatch.eps,Monitor Resources and Applications,"Amazon CloudWatch is a monitoring service for AWS cloud resources and the applications you run on AWS. You can use Amazon CloudWatch to collect and track metrics, collect and monitor log files, set alarms, and automatically react to changes in your AWS resources. ","PagerDuty, Statuspage",
7,clubs,Management Tools,759c3d,CloudFormation,,Management-Tools_AWSCloudFormation.eps,Create and Manage Resources with Templates,"AWS CloudFormation gives developers and systems administrators an easy way to create and manage a collection of related AWS resources, provisioning and updating them in an orderly and predictable fashion.",,
8,clubs,Management Tools,759c3d,CloudTrail,,Management-Tools_AWSCloudTrail.eps,Track User Activity and API Usage,AWS CloudTrail is a web service that records AWS API calls for your account and delivers log files to you.,,
9,clubs,Management Tools,759c3d,Config,,Management-Tools_AWSConfig.eps,Track Resource Inventory and Changes,"AWS Config is a fully managed service that provides you with an AWS resource inventory, configuration history, and configuration change notifications to enable security and governance.",,
10,clubs,Management Tools,759c3d,OpsWorks,,Management-Tools_AWSOpsWorks.eps,Automate Operations with Chef,AWS OpsWorks is a configuration management service that helps you configure and operate applications of all shapes and sizes using Chef. ,,
J,clubs,Management Tools,759c3d,Service Catalog,,Management-Tools_AWSServiceCatalog.eps,Create and Use Standardized Products,AWS Service Catalog allows organizations to create and manage catalogs of IT services that are approved for use on AWS.,,
Q,clubs,Management Tools,759c3d,Trusted Advisor,,Management-Tools_AWSTrustedAdvisor.eps,Optimize Performance and Security,"An online resource to help you reduce cost, increase performance, and improve security by optimizing your AWS environment, Trusted Advisor provides real time guidance to help you provision your resources following AWS best practices.",,
K,clubs,Internet of Things,5293cf,AWS IoT,,Internet-Of-Things_AWSIoT.eps,Connect Devices to the Cloud,AWS IoT is a managed cloud platform that lets connected devices easily and securely interact with cloud applications and other devices.,,
A,diamonds,Application Services,d9a63f,API Gateway,,Application-Services_AmazonAPIGateway.eps,"Build, Deploy and Manage APIs","Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale.",3Scale,
2,diamonds,Application Services,d9a63f,AppStream,,Application-Services_AmazonAppStream.eps,Low Latency Application Streaming,"Amazon AppStream enables you to stream your existing Windows applications from the cloud, reaching more users on more devices, without code modifications.","Citrix, RDP",
3,diamonds,Application Services,d9a63f,CloudSearch,,Application-Services_AmazonCloudSearch.eps,Managed Search Service,"Amazon CloudSearch is a managed service in the AWS Cloud that makes it simple and cost-effective to set up, manage, and scale a search solution for your website or application.","Sphinx, Solr, ElasticSearch",
4,diamonds,Application Services,d9a63f,Elastic Transcoder,,Application-Services_AmazonElasticTranscoder.eps,Easy-to-Use Scalable Media Transcoding,Amazon Elastic Transcoder is media transcoding in the cloud.,,
5,diamonds,Application Services,d9a63f,SES,Simple Email Service,Application-Services_AmazonSES.eps,Email Sending and Receiving Service,Amazon Simple Email Service (Amazon SES) is a cost-effective email service built on the reliable and scalable infrastructure that Amazon.com developed to serve its own customer base.,"SendGrid, Mandrill, Postmark",
6,diamonds,Application Services,d9a63f,SQS,Simple Queue Service,Application-Services_AmazonSQS.eps,Message Queue Service,"Amazon Simple Queue Service (SQS) is a fast, reliable, scalable, fully managed message queuing service.","RabbitMQ, Sidekiq",
7,diamonds,Application Services,d9a63f,SWF,Simple Workflow Service,Application-Services_AmazonSWF.eps,Workflow Service for Coordinating Application Components,"Amazon SWF helps developers build, run, and scale background jobs that have parallel or sequential steps.",IronWorker,
8,diamonds,Mobile Services,c17a9e,MobileHub,,Mobile-Services_AWSMobileHub.eps,"Build, Test, and Monitor Mobile Apps","AWS Mobile Hub lets you easily add and configure features for your mobile apps, including user authentication, data storage, backend logic, push notifications, content delivery, and analytics.",,
9,diamonds,Mobile Services,c17a9e,Cognito,,Mobile-Services_AmazonCognito.eps,User Identity and App Data Synchronization,"Amazon Cognito lets you easily add user sign-up and sign-in to your mobile and web apps. With Amazon Cognito, you can also authenticate users through social identity providers such as Facebook, Twitter, or Amazon, or by using your own identity solution.",OAuth.io,
10,diamonds,Mobile Services,c17a9e,Device Farm,,Mobile-Services_AWSDeviceFarm.eps,"Test Android, iOS, and Web Apps on Real Devices in the Cloud","Improve the quality of your iOS, Android, and web applications by testing against real phones and tablets in the AWS Cloud.","MobileTest, iOS emulator",
J,diamonds,Mobile Services,c17a9e,Mobile Analytics,,Mobile-Services_AmazonMobileAnalytics.eps,"Collect, View and Export App Analytics","With Amazon Mobile Analytics, you can measure app usage and app revenue.",Flurry,
Q,diamonds,Mobile Services,c17a9e,SNS,Simple Notification Svc.,Mobile-Services_AmazonSNS.eps,Push Notification Service,"Amazon SNS is a fast, flexible, fully managed pub-sub messaging service. Use it as a cloud-based mobile app notification service to send push notifications, email, and SMS messages.","UrbanAirship, Twilio",
K,diamonds,Game Development,ac688a,GameLift,,Game-Development_AmazonGameLift.eps,Deploy and Scale Session-based Mulltiplayer Games,"Deploy and scale session-based multiplayer games in the cloud in minutes, with no upfront costs.",,
joker,,About,,,,,Flash cards. I built these because I kept getting lost… etc. Link to purchase,,,
joker,,Enterprise? Amazon Leadership Principles?,,,,,,,,
,,Enterprise Applications,,WorkSpaces,,Enterprise-Applications_AmazonWorkSpaces.eps,Desktops in the Cloud,,,
,,Enterprise Applications,,WorkDocs,,Enterprise-Applications_AmazonWorkDocs.eps,Secure Enterprise Storage and Sharing Service,,"Dropbox, DataAnywhere",
,,Enterprise Applications,,WorkMail,,Enterprise-Applications_AmazonWorkMail.eps,Secure Email and Calendaring Service,,Google Apps for Domains,